manual_national_swing_dem,expected_dem_seats,dem_control_probability
-4,49.3837,0.3418
-3,49.7029,0.3818
-2,50.0078,0.4212
-1,50.3092,0.4584
0,50.5907,0.4986
1,50.8515,0.5335
2,51.113,0.5697
3,51.3697,0.6065
4,51.6149,0.6427
