manual_national_swing_dem,expected_dem_seats,dem_control_probability
-4,49.6359,0.3735
-3,49.9481,0.4122
-2,50.2474,0.4502
-1,50.5387,0.4906
0,50.7981,0.5267
1,51.0595,0.5615
2,51.319,0.5997
3,51.5633,0.6357
4,51.8038,0.6686
