state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,adjusted_fundamentals_margin_dem,model_margin_dem,pre_sim_dem_win_prob,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,simulated_dem_win_prob,avg_simulated_margin_dem,tipping_count,tipping_share_of_control_sims
Georgia,Jon Ossoff,Mike Collins / Derek Dooley runoff,D,Competitive,0.9068288682603952,0.9068269214783818,12.676826921478384,8.138838783182115,0.8145406886000407,1.1,1.0,1,0.9257,8.15804618971029,88,0.0033064061619387563
Michigan,Democratic nominee TBD,Republican nominee TBD,D-open,Competitive,2.0,2.003701379987723,13.238701379987724,8.905557625703567,0.8346837073749103,1.05,1.0,1,0.94502,8.942589539649926,50,0.0018786398647379298
Minnesota,Peggy Flanagan / Angie Craig primary,Michele Tafoya / Royce White / Tom Weiler / Adam Schwarze primary,D-open,Likely,6.0,6.003701379987723,15.633701379987723,11.919374292370236,0.8972613654431271,0.9,0.85,1,0.98654,11.939873601010795,2,7.514559458951719e-05
New Hampshire,Chris Pappas / Karishma Manzur / Jared Sullivan primary,Scott Brown / John E. Sununu / Daniel Innis primary,D-open,Competitive,3.0,3.0037013799877226,14.238701379987724,9.905557625703567,0.8582718953369228,1.05,1.0,1,0.9596,9.900172162013924,18,0.0006763103513056547
North Carolina,Roy Cooper / Democratic primary,Michael Whatley / Don Brown / Republican primary,R-open,Competitive,-1.41439042173441,-1.4143939450894485,9.820606054910552,5.488890746692995,0.7306612639229008,1.05,1.0,1,0.83712,5.480423537092359,547,0.02055232012023295
Maine,Graham Platner / David Costello primary,Susan Collins,R,Competitive,1.0,0.9990475043234972,13.304047504323497,8.560153633212105,0.82583495681091,1.15,1.0,1,0.9383,8.58116844949316,56,0.0021040766485064815
Texas,James Talarico,John Cornyn / Ken Paxton runoff,R,Likely,-5.0,-5.00048035233624,3.0245196476637606,-0.06937848315771133,0.49684647439932617,0.75,0.85,1,0.49744,-0.056147672408368474,4509,0.1694157430020665
Ohio,Sherrod Brown,Jon Husted,R-appointed,Competitive,-4.0,-4.0029577958302545,4.557042204169746,1.257827043228744,0.5569260613204011,0.8,1.0,1,0.58984,1.2888528522980953,3038,0.11414615818147661
Florida,Angie Nixon / Alex Vindman primary,Ashley Moody,R-appointed,Likely,-7.0,-7.002254393578235,0.48774560642176557,-2.3991963107208485,0.39264262880001816,0.7,0.85,1,0.32906,-2.3917909049271433,4992,0.1875634040954349
Iowa,Jackie Norris / Nathan Sage / J.D. Scholten / Zach Wahls primary,Jim Carlin / Joshua Smith / GOP field,R-open,Likely,-7.0,-7.007402759975446,1.0175972400245543,-2.0736319180738016,0.4068448757221515,0.75,0.85,1,0.35138,-2.0566795616119684,4934,0.1853841818523389
