simulation,dem_seats,dem_control,national_error
99,53.0,1,1.5795292775985137
100,49.0,0,-4.936347981323365
101,49.0,0,-3.0437837396001366
102,48.0,0,-6.730944331342164
103,53.0,1,1.2667132513462664
104,51.0,1,0.3885435078668189
105,55.0,1,6.768819580085312
106,47.0,0,-4.37090223987961
107,45.0,0,-10.65546277622085
108,53.0,1,2.367536769201081
109,53.0,1,3.160386130335577
110,49.0,0,0.3068024106285241
111,46.0,0,-7.790780932585182
112,54.0,1,5.08988822474726
113,51.0,1,0.8996380980922865
114,48.0,0,-2.351854704763977
115,52.0,1,1.2862512438490776
116,50.0,0,0.40845053098394013
117,45.0,0,-10.068846283027902
118,49.0,0,-0.7812595226382999
119,52.0,1,1.2210085638853416
120,55.0,1,7.260855844299308
121,50.0,0,-0.8766589773332452
122,49.0,0,-4.306642998571887
123,46.0,0,-10.60657517900124
124,51.0,1,1.1627887444648224
125,54.0,1,1.6484944695685155
126,50.0,0,-1.7756238078830522
127,50.0,0,-0.7887485106575985
128,50.0,0,-4.271055369987269
129,53.0,1,3.5336505972251504
130,49.0,0,-2.3812885130865267
131,52.0,1,0.8962119204347466
132,48.0,0,-3.933278591175063
133,54.0,1,7.132882848620748
134,54.0,1,6.404500245247684
135,53.0,1,3.130992709216629
136,53.0,1,7.006586232557781
137,49.0,0,-2.331369925308479
138,55.0,1,9.495582765763285
139,55.0,1,8.209026579326274
140,49.0,0,-0.9444005720851907
141,54.0,1,2.8412125476326238
142,52.0,1,0.3916720393279274
143,54.0,1,5.841571326258642
144,52.0,1,5.590044073367905
145,52.0,1,3.335798716700747
146,54.0,1,2.814471090074543
147,50.0,0,-0.9765296055757374
148,50.0,0,-1.8177435142803715
149,49.0,0,-2.6803907169667736
150,50.0,0,-3.972524304955243
151,52.0,1,0.48884758001689793
152,49.0,0,-0.200257134481916
153,45.0,0,-9.299656479482922
154,52.0,1,1.2044781105387907
155,50.0,0,-0.8423431684047227
156,50.0,0,-3.3691778731061883
157,48.0,0,-2.6351697069243984
158,48.0,0,-3.712464656418355
159,49.0,0,-1.258075103939202
160,49.0,0,-2.5556252531003647
161,51.0,1,2.119114020237498
162,52.0,1,0.4399567739206918
163,53.0,1,6.092397899205063
164,49.0,0,-4.5761722304988846
165,54.0,1,6.864611757276484
166,47.0,0,-6.839964269272205
167,50.0,0,-4.5767727359335
168,53.0,1,3.162535773205913
169,42.0,0,-13.838749464339127
170,49.0,0,-1.3605598980329998
171,47.0,0,-7.292290770438871
172,55.0,1,5.207110006697804
173,54.0,1,4.1259155358494235
174,54.0,1,6.087926155287951
175,47.0,0,-6.28183882089955
176,49.0,0,-0.47814535993641194
177,52.0,1,2.0113354754917254
178,54.0,1,7.401125059064576
179,49.0,0,-4.927573643919284
180,49.0,0,-1.7993963344918191
181,48.0,0,-6.472988839802255
182,54.0,1,3.704616578718861
183,49.0,0,-6.526394804539849
184,51.0,1,0.3156770679898699
185,50.0,0,-2.25595344051412
186,49.0,0,-5.146174874696755
187,49.0,0,-3.5492182274346473
188,50.0,0,-0.10537606476215257
189,53.0,1,2.1260947928568936
190,51.0,1,1.816279133222486
191,49.0,0,-5.10305561859995
192,58.0,1,12.079719492303338
193,57.0,1,10.963631282889475
194,51.0,1,-1.6175180972300216
195,48.0,0,-4.83238460236933
196,51.0,1,-1.7079184369571532
197,49.0,0,-2.6074772642431006
198,46.0,0,-7.396815506235834
199,49.0,0,-4.60033654974987
200,47.0,0,-3.861073973360837
201,50.0,0,-0.816462002435597
202,51.0,1,-0.523751269399938
203,50.0,0,-1.2583963278806423
204,49.0,0,-0.9814211633676146
205,53.0,1,3.08315079399143
206,48.0,0,-3.3254309479457684
207,51.0,1,-1.3967853900734648
208,50.0,0,0.35831993017338537
209,53.0,1,5.014053771868909
210,54.0,1,4.180226916516029
211,52.0,1,1.319710538739908
212,51.0,1,-1.0774912560260812
213,53.0,1,2.155135706511327
214,54.0,1,4.502351014799938
215,42.0,0,-12.45488402217149
216,49.0,0,-4.995343779538847
217,54.0,1,6.419423093130517
218,54.0,1,4.762095896088305
219,54.0,1,7.725082285512397
220,51.0,1,2.0230016325200557
221,49.0,0,-2.5252549001033575
222,46.0,0,-6.912780744139613
223,48.0,0,-4.15225249329114
224,45.0,0,-8.501656243092283
225,49.0,0,-2.7432100789208196
226,52.0,1,1.4910366439316696
227,55.0,1,7.339224673584949
228,48.0,0,-4.448800395800625
229,50.0,0,-0.09990710046457037
230,50.0,0,-2.2220797491642714
231,47.0,0,-8.803831535316203
232,51.0,1,-0.04106164111188703
233,51.0,1,0.04100161880738331
234,49.0,0,-0.797985661324695
235,52.0,1,0.5013772245948577
236,52.0,1,0.44231584370170557
237,52.0,1,1.8829386625859796
238,50.0,0,-0.9901927590416043
239,48.0,0,-5.169458208541377
240,53.0,1,2.5427271859133946
241,49.0,0,-0.8204310814733087
242,50.0,0,-0.30199181312727585
243,54.0,1,3.0939467840475716
244,49.0,0,0.5188927740005295
245,54.0,1,6.667122517857042
246,52.0,1,1.8196341269859708
247,49.0,0,-2.507719282656001
248,49.0,0,-1.6884156008220548
249,53.0,1,3.099415995735276
250,51.0,1,-4.211267123483169
251,53.0,1,4.256868386474068
252,47.0,0,-7.774462605694631
253,51.0,1,-1.1603387886239573
254,52.0,1,-0.8668965594370381
255,49.0,0,-4.781740947149551
256,53.0,1,2.1817215009577002
257,48.0,0,-5.0449985736178835
258,53.0,1,-0.15806246286432252
259,54.0,1,5.535977478307339
260,47.0,0,-9.039408450180424
261,51.0,1,0.9370055337582016
262,49.0,0,-3.739176322731947
263,54.0,1,4.473201595697322
264,48.0,0,-6.699160846399913
265,47.0,0,-4.53095030451614
266,48.0,0,-4.500436110058765
267,54.0,1,1.1703391329348067
268,50.0,0,-2.139347192059728
269,50.0,0,-1.9543118961197345
270,46.0,0,-7.441554855512724
271,53.0,1,1.0599603127281132
272,49.0,0,-2.1851095752480107
273,47.0,0,-5.544103349125964
274,54.0,1,5.140851332310702
275,53.0,1,3.520655951684527
276,55.0,1,6.552450724835978
277,54.0,1,5.053254927948195
278,52.0,1,0.9536646787440054
279,52.0,1,-0.9932913905654104
280,51.0,1,0.2981642867410961
281,47.0,0,-7.7738782690890895
282,49.0,0,-4.173622532194353
283,46.0,0,-7.1897662804146245
284,49.0,0,-4.088071541757191
285,52.0,1,3.79189399890944
286,53.0,1,4.570906145331792
287,51.0,1,-0.2289595431496157
288,54.0,1,3.1141046091416507
289,52.0,1,2.4985145503358552
290,52.0,1,2.224188833609338
291,48.0,0,-6.883920401780066
292,54.0,1,4.625963933968847
293,49.0,0,-1.133363486119062
294,50.0,0,1.2974020978404435
295,49.0,0,-5.8395867982182175
296,51.0,1,-0.3779639565225958
297,50.0,0,-1.903997781756584
298,50.0,0,-0.7904370913315809
299,48.0,0,-5.688850262402053
300,48.0,0,-5.3279296447815865
301,52.0,1,1.7081795223821759
302,56.0,1,10.692229533388659
303,52.0,1,0.8058108492314182
304,53.0,1,2.6466007462073695
305,51.0,1,-0.38183549615839923
306,50.0,0,-2.38361339122641
307,47.0,0,-8.156307873502511
308,49.0,0,-3.3284219719314847
309,53.0,1,4.493589476357343
310,53.0,1,1.4811787542615404
311,52.0,1,0.17982105516893135
312,48.0,0,-3.799178147586003
313,49.0,0,-3.7383576169593633
314,45.0,0,-12.558246574999846
315,51.0,1,-0.35401968735972655
316,51.0,1,0.5044302906726061
317,54.0,1,3.3156917903192173
318,50.0,0,-1.1719213007090743
319,52.0,1,2.134598620869851
320,48.0,0,-6.326493609473246
321,52.0,1,1.4801495926036374
322,49.0,0,-3.520143378222001
323,51.0,1,0.8935978141242581
324,53.0,1,5.769376322756103
325,53.0,1,4.996376185648691
326,52.0,1,3.289914779980998
327,51.0,1,-1.9947620542056848
328,53.0,1,2.7196524115105567
329,47.0,0,-5.164004643273001
330,52.0,1,0.746855406798936
331,54.0,1,5.169897571123881
332,49.0,0,-5.157457395991985
333,47.0,0,-8.023415698498576
334,54.0,1,3.290425586240996
335,54.0,1,3.16415488363324
336,47.0,0,-6.082978605977567
337,52.0,1,1.6088047269299517
338,54.0,1,6.217030083326719
339,50.0,0,-0.7789014239999732
340,53.0,1,4.968988332469216
341,49.0,0,-0.9468297821065338
342,53.0,1,5.154609770563045
343,49.0,0,-3.6885776609334653
344,52.0,1,1.3768006625176392
345,50.0,0,0.9181665277718317
346,54.0,1,7.659531937356078
347,46.0,0,-5.987702932689708
348,49.0,0,-3.8972075637376475
349,50.0,0,-2.195959892462954
350,49.0,0,-4.487876932312062
351,51.0,1,-1.4977113685518555
352,50.0,0,-3.3160021273529323
353,52.0,1,3.5930370055422896
354,49.0,0,-2.981948307732585
355,48.0,0,-5.128514801513806
356,54.0,1,3.6826234660563544
357,50.0,0,0.7366713836924814
358,50.0,0,-1.1760747733422396
359,49.0,0,-3.631833035405488
360,50.0,0,-3.750469573825555
361,48.0,0,-5.434528669477938
362,48.0,0,-1.7053442150669635
363,50.0,0,-1.208053406281318
364,49.0,0,-0.9013886903234192
365,55.0,1,6.312968120751057
366,50.0,0,-2.424873864598666
367,49.0,0,-3.2501952070250697
368,51.0,1,-0.7424159668961505
369,49.0,0,-3.312856231497101
370,53.0,1,5.156426553824097
371,50.0,0,-1.6027001218450938
372,45.0,0,-8.156635924092635
373,49.0,0,-2.4672983499451266
374,48.0,0,-2.3983150991617666
375,49.0,0,-5.804285095743262
376,53.0,1,1.2809291701188303
377,51.0,1,-3.0801308006212653
378,50.0,0,-2.7735830960537653
379,48.0,0,-1.592094881867364
380,52.0,1,3.396682950695021
381,47.0,0,-8.524487115601062
382,48.0,0,-4.108227676600115
383,50.0,0,-4.72965621489678
384,54.0,1,3.7392066342977537
385,51.0,1,1.900141157244914
386,55.0,1,8.6159761280774
387,52.0,1,-1.3691230982669507
388,52.0,1,1.4707324366220942
389,53.0,1,2.9228133113968164
390,54.0,1,2.8644583489514015
391,49.0,0,-4.699860089571454
392,49.0,0,-0.8846071637669064
393,57.0,1,11.919011960239894
394,51.0,1,0.021496323860461165
395,51.0,1,0.4563811663657836
396,51.0,1,0.026650456770122646
397,51.0,1,0.15972105645928533
398,55.0,1,6.836347607585081
399,50.0,0,-4.240727581626865
400,50.0,0,-1.1886496073347423
401,52.0,1,1.4622367923726893
402,47.0,0,-8.190345330916712
403,56.0,1,13.41104988140651
404,45.0,0,-8.384944172881822
405,49.0,0,-0.22250858467779397
406,56.0,1,10.22247336800008
407,49.0,0,-3.719293014621462
408,52.0,1,0.29609404355067476
409,51.0,1,-1.6375425486747979
410,51.0,1,-0.7417091064876163
411,47.0,0,-6.76131518388812
412,49.0,0,-1.6937919478776222
413,48.0,0,-5.397619174047817
414,50.0,0,-2.231439056887275
415,52.0,1,0.6529099067287176
416,48.0,0,-3.277531644588183
417,50.0,0,-2.3200742647487007
418,52.0,1,3.6155055463630283
419,53.0,1,0.8964361786519782
420,49.0,0,-0.5036872931388424
421,51.0,1,3.2325985806010546
422,55.0,1,8.268961297946793
423,51.0,1,0.8203735211840767
424,51.0,1,-0.2942983546393092
425,50.0,0,-0.8030531693353067
426,54.0,1,6.055201277342536
427,52.0,1,3.645043594288532
428,50.0,0,0.35740048129847524
429,52.0,1,1.9446282669922261
430,50.0,0,0.6744005561179877
431,53.0,1,0.857307798159403
432,49.0,0,-2.4672652336104695
433,50.0,0,-2.0127848545451377
434,47.0,0,-3.9712083544425623
435,49.0,0,-4.1387276616102975
436,50.0,0,0.17293186546786513
437,45.0,0,-9.865220485091417
438,47.0,0,-8.296120955549489
439,52.0,1,-0.6860051058755557
440,54.0,1,5.992103709242194
441,48.0,0,-5.576498944946575
442,48.0,0,-4.6192929652712245
443,49.0,0,-1.1532711195099554
444,52.0,1,1.8605666436959944
445,53.0,1,4.758285560683694
446,55.0,1,8.016018743961345
447,54.0,1,4.839994280510599
448,51.0,1,0.7157923773357902
449,54.0,1,4.514867590287061
450,53.0,1,4.2412505171042145
451,55.0,1,9.041913494573958
452,46.0,0,-6.370462759110493
453,54.0,1,5.14041011533352
454,52.0,1,0.22625733979845328
455,49.0,0,-6.4962660747334935
456,51.0,1,-1.0239706563876854
457,49.0,0,-2.862447062035451
458,47.0,0,-5.875560646253874
459,49.0,0,-1.8496715437346212
460,54.0,1,5.604513793242574
461,53.0,1,2.0444546351496538
462,51.0,1,-0.4164977921185252
463,49.0,0,-3.7525727246860394
464,49.0,0,-2.8937060502314034
465,50.0,0,-1.5189667423025401
466,55.0,1,10.64637713358602
467,51.0,1,-0.21476123303414438
468,46.0,0,-6.708238334538912
469,54.0,1,5.776452921637828
470,51.0,1,-0.47276145973461
471,49.0,0,-1.4671231985947923
472,49.0,0,-1.5841389514861102
473,54.0,1,5.030899547592583
474,50.0,0,-2.6841267967985454
475,55.0,1,8.71777759205031
476,55.0,1,7.129931483698045
477,52.0,1,2.3017788500890184
478,47.0,0,-5.343714477916279
479,53.0,1,4.171605996175293
480,54.0,1,7.3379682327536635
481,52.0,1,3.4090577590146847
482,49.0,0,-2.822179618125799
483,53.0,1,4.947182904684013
484,50.0,0,0.5254733029977858
485,49.0,0,-5.845275678525662
486,43.0,0,-12.727261342757325
487,55.0,1,6.349524656023886
488,54.0,1,1.022804390033119
489,48.0,0,-3.4560616873574985
490,49.0,0,-4.501597540882151
491,48.0,0,-3.8404334869368832
492,47.0,0,-5.666949084098324
493,52.0,1,3.0101323566255758
494,58.0,1,14.796651514316107
495,48.0,0,-3.3752931083658035
496,49.0,0,-4.0255223985373725
497,50.0,0,-3.6826261642802525
498,54.0,1,5.434945717965984
499,54.0,1,4.85182423830648
500,50.0,0,-3.2628020890748775
501,54.0,1,5.173758714351794
502,47.0,0,-8.253595860971853
503,53.0,1,3.843491089420536
504,52.0,1,-0.7180056755366278
505,50.0,0,-3.716303501289981
506,55.0,1,8.753951672811798
507,50.0,0,-2.2981646118088577
508,50.0,0,-4.413766435044895
509,52.0,1,2.3250730738141145
510,49.0,0,-0.6687362612412128
511,58.0,1,11.435507799240755
512,49.0,0,-1.0107617072518218
513,54.0,1,7.374236978851395
514,52.0,1,2.0147343955198527
515,51.0,1,-2.42586886643814
516,55.0,1,5.454926339524485
517,48.0,0,-5.327811732205934
518,49.0,0,-4.170128814631101
519,51.0,1,-1.2508762114294107
520,45.0,0,-10.733392971366007
521,43.0,0,-10.915088636862187
522,53.0,1,2.7447241773355455
523,50.0,0,1.6280761513049355
524,49.0,0,-1.2277059383504054
525,52.0,1,2.0626795804134432
526,51.0,1,-1.2225607811944503
527,53.0,1,2.1502196522718937
528,52.0,1,1.8106309159057155
529,55.0,1,6.547525839363374
530,50.0,0,0.8174747703176866
531,50.0,0,-0.030613811074225946
532,57.0,1,8.850103463547484
533,47.0,0,-5.547151305798376
534,53.0,1,5.289225057379071
535,55.0,1,6.663691407413017
536,51.0,1,-1.2042525850711014
537,48.0,0,-4.8133602512902325
538,51.0,1,1.4978881520620606
539,49.0,0,-4.081436150434096
540,54.0,1,6.812711521294741
541,47.0,0,-7.137437120523628
542,51.0,1,0.3754580719506072
543,54.0,1,4.3671267990562175
544,44.0,0,-10.45493841033148
545,46.0,0,-9.001017397425644
546,51.0,1,0.22692564246566072
547,47.0,0,-5.0240658563306875
548,48.0,0,-7.541089855541892
549,48.0,0,-3.7701951603180466
550,50.0,0,-1.3160174261935744
551,51.0,1,1.7133853215543529
552,49.0,0,-5.060980010487556
553,50.0,0,0.8525482899212458
554,50.0,0,-4.211391687897231
555,50.0,0,-2.036376453491308
556,49.0,0,-3.1217402092150905
557,52.0,1,0.7916919972315976
558,51.0,1,1.9575375767618375
559,52.0,1,2.432404533396179
560,49.0,0,-3.514223594341685
561,51.0,1,-1.3213220011130495
562,49.0,0,-5.5735837772853065
563,51.0,1,0.789142479890596
564,54.0,1,1.2088083783805545
565,48.0,0,-4.025242252387929
566,54.0,1,3.8963526426736776
567,49.0,0,-2.346034073766404
568,49.0,0,-3.594489436026026
569,51.0,1,0.7312892934499932
570,51.0,1,1.4832819172184002
571,50.0,0,-1.4169817446642345
572,53.0,1,3.1687799853636074
573,50.0,0,-1.6380575821981982
574,52.0,1,-0.114743412150345
575,54.0,1,6.74030911282125
576,53.0,1,6.419260692276153
577,57.0,1,11.843261862644797
578,50.0,0,-0.48799970570804935
579,48.0,0,-5.262247513495859
580,51.0,1,0.7505999087112512
581,54.0,1,4.329565935700632
582,53.0,1,3.17530683884304
583,43.0,0,-11.757465015039651
584,52.0,1,3.5994934582127107
585,46.0,0,-5.863213703464968
586,51.0,1,-0.15314697908420494
587,52.0,1,1.3575617366540031
588,50.0,0,-1.9361996835914514
589,53.0,1,1.1947510500514926
590,49.0,0,-2.870638961226313
591,50.0,0,-1.0053165739371566
592,54.0,1,6.053179148785315
593,50.0,0,0.19917193053739934
594,48.0,0,-7.418226461501346
595,47.0,0,-7.507399136788703
596,51.0,1,0.564467136220066
597,53.0,1,4.803323547361153
598,48.0,0,-5.2971693953333245
599,53.0,1,4.393226816643029
600,41.0,0,-16.70916202876811
601,56.0,1,9.915697556071299
602,54.0,1,3.9264678051343864
603,52.0,1,-0.19096682100315532
604,51.0,1,1.2760264229694698
605,49.0,0,-3.351172528283564
606,48.0,0,-2.142190277111555
607,55.0,1,7.609396071292982
608,54.0,1,7.888436395388215
609,57.0,1,12.295546446183403
610,52.0,1,0.9077085058919067
611,48.0,0,-2.267428207445157
612,49.0,0,-1.0266126160656361
613,49.0,0,0.4445341120765975
614,55.0,1,9.4591700536082
615,53.0,1,2.633490754924036
616,51.0,1,-1.29820995913261
617,46.0,0,-9.613095611342299
618,51.0,1,-0.1512236596349709
619,48.0,0,-7.389339022409502
620,54.0,1,2.7385023628617295
621,52.0,1,2.4740105025974812
622,54.0,1,5.583315197923855
623,47.0,0,-7.860607990961062
624,49.0,0,-2.95584699655378
625,54.0,1,6.007163719185086
626,50.0,0,0.15739921022648348
627,51.0,1,0.6089824300616724
628,48.0,0,-5.436916759636666
629,51.0,1,1.259215673583572
630,53.0,1,3.2932569780879977
631,51.0,1,3.734774560146973
632,49.0,0,-6.21664323068323
633,48.0,0,-5.787886300109762
634,53.0,1,1.9464839212428602
635,52.0,1,3.9740939770067185
636,46.0,0,-8.206211564533902
637,52.0,1,-0.11014682206731445
638,53.0,1,3.759382739613715
639,51.0,1,-1.0496773156874761
640,52.0,1,2.118632433380446
641,51.0,1,-0.5661707510544185
642,49.0,0,-3.877022437832267
643,53.0,1,1.2040112546582153
644,46.0,0,-8.484780402363342
645,47.0,0,-5.935422202385091
646,54.0,1,6.78484679162549
647,55.0,1,9.992371069127735
648,55.0,1,8.488340282159008
649,48.0,0,-4.763709755066706
650,50.0,0,-2.8148608520672265
651,53.0,1,2.4298975645990635
652,51.0,1,-1.0329817009360203
653,53.0,1,4.822514454205982
654,49.0,0,-3.42843804786668
655,54.0,1,4.647807468196759
656,55.0,1,5.252961422053726
657,53.0,1,1.7015822564180232
658,53.0,1,3.581640136095069
659,54.0,1,5.2760314245496405
660,54.0,1,2.707026923526828
661,52.0,1,-0.09451320260331612
662,49.0,0,-3.2468717368865283
663,51.0,1,-0.43567697796580024
664,52.0,1,0.47310226510401227
665,54.0,1,7.161290275972217
666,54.0,1,4.842994722554549
667,51.0,1,-2.4360569331542505
668,52.0,1,0.936992528294457
669,56.0,1,9.744648380783017
670,50.0,0,1.2446922603620245
671,52.0,1,0.9498220354290423
672,54.0,1,5.9439620077304856
673,55.0,1,9.556883602694834
674,49.0,0,-1.3192057569205855
675,53.0,1,4.8304335405755126
676,53.0,1,4.3788044723350845
