state,polling_margin_dem,poll_count,latest_poll_end_date,avg_poll_age_days,total_poll_weight
Florida,-7.0,1,2026-05-05,18.0,0.5738212488844469
Georgia,0.9068288682603953,2,2026-05-11,16.08072990717178,1.1920935525043057
Maine,1.0,1,2026-04-29,24.0,0.40004005633081924
North Carolina,-1.4143904217344099,2,2026-05-09,20.21585632601615,0.9080468954138442
Ohio,-4.0,1,2026-04-30,23.0,0.48246404126887027
Texas,-5.0,1,2026-05-05,18.0,0.6290551336427649
