dem_seats,probability,count
38.0,8e-05,4
39.0,0.00016,8
40.0,0.00046,23
41.0,0.00086,43
42.0,0.00196,98
43.0,0.0036,180
44.0,0.00748,374
45.0,0.01294,647
46.0,0.02398,1199
47.0,0.04278,2139
48.0,0.08446,4223
49.0,0.15248,7624
50.0,0.13646,6823
51.0,0.11878,5939
52.0,0.1097,5485
53.0,0.10804,5402
54.0,0.12526,6263
55.0,0.04934,2467
56.0,0.01166,583
57.0,0.00516,258
58.0,0.00218,109
59.0,0.00106,53
60.0,0.00076,38
61.0,0.00026,13
62.0,6e-05,3
64.0,2e-05,1
65.0,2e-05,1
